iter	Logloss
0	0.6820859009
1	0.6740463044
2	0.6680555199
3	0.663856045
4	0.6608720759
5	0.6584191553
6	0.6562556517
7	0.6545715179
8	0.6532427409
9	0.6521781656
10	0.6512921801
11	0.6506585159
12	0.6501740916
13	0.6496767232
14	0.649261108
15	0.6486487778
16	0.6482741974
17	0.6479132857
18	0.6476031097
19	0.6472515827
20	0.6469063925
21	0.6466495111
22	0.6463141714
23	0.6460439606
24	0.6457588448
25	0.6454939416
26	0.6451867098
27	0.6448807489
28	0.6446525562
29	0.6443301491
30	0.6441361827
31	0.6439802781
32	0.6438470243
33	0.64361698
34	0.6434156646
35	0.6432307724
36	0.642970918
37	0.6427479294
38	0.6425653603
39	0.6424119111
40	0.642191677
41	0.6420286189
42	0.6418231
43	0.6415975582
44	0.641342908
45	0.6411214087
46	0.6409766657
47	0.6407874721
48	0.6405452255
49	0.6403547151
50	0.6401750902
51	0.6399719749
52	0.6397006083
53	0.6395096321
54	0.6393932787
55	0.6392146141
56	0.6390233159
57	0.6388268768
58	0.6386843304
59	0.6385187997
60	0.6384213709
61	0.6382560817
62	0.6380777909
63	0.6379195747
64	0.6377136015
65	0.6375035397
66	0.6372435646
67	0.6369889489
68	0.6368575352
69	0.6366019534
70	0.6365036678
71	0.6363071654
72	0.6361632792
73	0.6359986571
74	0.6357382104
75	0.6355303971
76	0.6353936701
77	0.6350960242
78	0.6349705392
79	0.6348149911
80	0.634521865
81	0.6342827293
82	0.6339913514
83	0.6337821004
84	0.6333287972
85	0.6330877352
86	0.632801291
87	0.632528205
88	0.6322649234
89	0.6320130046
90	0.6317394241
91	0.6315230484
92	0.6311781171
93	0.6310209992
94	0.6308088156
95	0.6304782372
96	0.6301034958
97	0.6298570514
98	0.6296267368
99	0.6293288608
100	0.6290680979
101	0.6288917162
102	0.6286982961
103	0.6283920649
104	0.6281014172
105	0.6277948352
106	0.6274941186
107	0.6272482607
108	0.6270335584
109	0.6267390407
110	0.6264115158
111	0.6261619316
112	0.6259486784
113	0.6256803422
114	0.6254369052
115	0.6251629279
116	0.6249288353
117	0.6247096017
118	0.6245273431
119	0.6243021809
120	0.6240701182
121	0.6238550019
122	0.6236878553
123	0.6234488691
124	0.6231227588
125	0.622852387
126	0.6226658213
127	0.6223842132
128	0.6221352271
129	0.6218707207
130	0.6216637355
