iter	Passed	Remaining
0	24	3156
1	49	3163
2	76	3248
3	97	3100
4	121	3054
5	142	2966
6	165	2924
7	186	2867
8	209	2833
9	233	2826
10	258	2825
11	283	2806
12	303	2754
13	324	2714
14	349	2700
15	370	2662
16	390	2620
17	412	2586
18	436	2571
19	459	2551
20	480	2518
21	504	2498
22	529	2486
23	550	2454
24	571	2421
25	594	2400
26	620	2389
27	642	2362
28	663	2333
29	689	2320
30	709	2290
31	732	2266
32	752	2235
33	775	2212
34	807	2215
35	831	2193
36	853	2168
37	877	2147
38	899	2120
39	923	2101
40	963	2114
41	1002	2123
42	1045	2138
43	1077	2130
44	1101	2104
45	1122	2075
46	1142	2041
47	1164	2013
48	1186	1984
49	1208	1958
50	1229	1929
51	1249	1898
52	1272	1872
53	1290	1840
54	1309	1809
55	1329	1780
56	1349	1751
57	1368	1722
58	1389	1695
59	1409	1667
60	1428	1638
61	1446	1609
62	1468	1584
63	1489	1559
64	1509	1532
65	1529	1506
66	1550	1480
67	1569	1454
68	1589	1428
69	1609	1402
70	1628	1376
71	1646	1349
72	1667	1324
73	1689	1301
74	1707	1275
75	1728	1250
76	1748	1226
77	1775	1206
78	1801	1185
79	1822	1161
80	1843	1137
81	1864	1114
82	1887	1091
83	1908	1067
84	1930	1044
85	1950	1020
86	1970	996
87	1988	971
88	2009	948
89	2028	924
90	2048	900
91	2067	876
92	2088	853
93	2106	829
94	2122	804
95	2141	780
96	2161	757
97	2181	734
98	2200	711
99	2220	688
100	2239	665
101	2261	642
102	2282	620
103	2305	598
104	2329	576
105	2349	554
106	2370	531
107	2390	509
108	2412	486
109	2430	463
110	2450	441
111	2473	419
112	2492	396
113	2514	374
114	2536	352
115	2555	330
116	2575	308
117	2594	285
118	2613	263
119	2632	241
120	2652	219
121	2672	197
122	2688	174
123	2720	153
124	2740	131
125	2762	109
126	2790	87
127	2819	66
128	2846	44
129	2869	22
130	2895	0
