iter	Logloss
0	0.685802399
1	0.6800265922
2	0.675125491
3	0.6712087484
4	0.6683565304
5	0.6657700234
6	0.6636175247
7	0.661636455
8	0.6601702732
9	0.6590162063
10	0.6577563695
11	0.656864602
12	0.6561140118
13	0.6554084749
14	0.6548647682
15	0.6542758604
16	0.6537287031
17	0.6533229994
18	0.6529244801
19	0.6524495547
20	0.6520868822
21	0.651763748
22	0.6509657182
23	0.6505707898
24	0.6502743009
25	0.6499621868
26	0.6496524722
27	0.6487314235
28	0.6482922379
29	0.647944349
30	0.6476174979
31	0.6472895591
32	0.6464244345
33	0.6456801088
34	0.6453800568
35	0.6452202583
36	0.6449295542
37	0.6447702701
38	0.6445213495
39	0.6441735796
40	0.6440046897
41	0.6438481306
42	0.6435707776
43	0.6433705178
44	0.6431943704
45	0.6428804946
46	0.6426360853
47	0.6423209564
48	0.641911249
49	0.6417251236
50	0.6415191868
51	0.6413089804
52	0.6410838963
53	0.6407247503
54	0.6404663946
55	0.640281398
56	0.6400242016
57	0.6397458026
58	0.6395200564
59	0.6393398547
60	0.6391194294
61	0.6388672295
62	0.63860998
63	0.6384595178
64	0.6382262434
65	0.6378488371
66	0.6377050242
67	0.637412667
68	0.6372276347
69	0.6369589632
70	0.6367490341
71	0.6363712875
72	0.6361109214
73	0.6358245244
74	0.6355464875
75	0.6352956516
76	0.6349225677
77	0.634649207
78	0.6345016478
79	0.6342890982
80	0.6340034138
81	0.6338247549
82	0.6336508622
83	0.6335369977
84	0.6333640132
85	0.6330384515
86	0.6328154249
87	0.6322611964
88	0.6321285308
89	0.6319686814
90	0.6316640407
91	0.6312357272
92	0.6308669241
93	0.6305933343
94	0.6303423432
95	0.6299866902
96	0.6296328244
97	0.6294465693
98	0.6292481764
99	0.629062835
100	0.6288713305
101	0.6282674175
102	0.6277752359
103	0.6274361916
104	0.6270459746
105	0.626792805
106	0.6264709907
107	0.6262695796
108	0.6260395911
109	0.6257443709
110	0.6255258671
111	0.6251568653
112	0.6248876033
113	0.6246314166
114	0.6243383971
115	0.6240731868
116	0.623826139
117	0.6233290849
118	0.6229452302
119	0.6225950566
120	0.6221077284
121	0.6218889215
122	0.6215271493
123	0.6211991792
124	0.620783389
125	0.6205374583
126	0.6202483634
127	0.6199761573
128	0.6195929529
129	0.6191430471
130	0.61881951
131	0.6183361018
132	0.6178838172
133	0.6176211548
134	0.6172753501
135	0.6168703119
136	0.616646607
137	0.6163776773
138	0.616002211
139	0.6157658095
140	0.615479563
141	0.6151517293
142	0.6148730968
143	0.6144620074
144	0.6141769144
145	0.6139483653
146	0.6136298355
147	0.613269955
148	0.6129962089
149	0.6127387568
150	0.6122334377
151	0.611991635
152	0.6117401529
153	0.6113622038
154	0.6111113581
155	0.6108086745
156	0.6105224825
157	0.6102346641
158	0.6099747321
159	0.6097355013
160	0.6094714424
161	0.6091730237
162	0.608865955
163	0.6085370037
164	0.6081897002
165	0.6078636384
166	0.6074545155
167	0.6072285351
168	0.6069110503
169	0.6066136998
170	0.6061645889
171	0.6058851145
172	0.6056243507
173	0.6053633626
174	0.6051476532
175	0.6048388057
176	0.6045166768
177	0.6042533328
178	0.6039949061
179	0.6038218074
180	0.6034577175
181	0.6031767779
182	0.6028124989
183	0.6025014035
184	0.6022237995
185	0.601982856
186	0.601725895
187	0.6014939566
188	0.6012080501
189	0.6009210905
190	0.6005972112
191	0.6003294466
192	0.6001095922
193	0.5999286459
194	0.5995564
195	0.5992445206
196	0.5989143616
197	0.5986870239
198	0.5983335317
199	0.5980190437
200	0.5977077454
201	0.5974740975
202	0.5971710678
203	0.5970183307
204	0.5967482475
205	0.59643606
206	0.5961341255
207	0.5958391085
208	0.5955401368
209	0.5952917014
210	0.5949159873
211	0.5944167036
212	0.5941787701
213	0.5938144941
214	0.5935541368
215	0.5933178428
216	0.5928896389
217	0.5925590776
218	0.5922114971
219	0.5919075205
220	0.5916843669
221	0.5914315806
222	0.5911994532
223	0.5909735039
224	0.5907227703
225	0.5903835102
226	0.5900522484
227	0.5897635619
228	0.5895256008
229	0.5892936739
230	0.5891065772
231	0.5888173645
232	0.588550072
233	0.5883457241
234	0.5881214287
235	0.5879090862
236	0.5876309511
237	0.5873299609
238	0.5870875507
239	0.5868327072
240	0.5865420861
241	0.5862293371
242	0.5860240754
243	0.5857480858
244	0.5854200602
245	0.5851099577
246	0.5847792818
247	0.5845211694
248	0.5842439441
249	0.5839746309
250	0.5836735316
251	0.583401113
