iter	Passed	Remaining
0	23	5860
1	43	5406
2	63	5254
3	86	5370
4	105	5203
5	125	5142
6	145	5108
7	164	5026
8	183	4956
9	200	4848
10	220	4838
11	238	4761
12	254	4684
13	272	4635
14	289	4574
15	308	4544
16	327	4533
17	345	4489
18	367	4505
19	384	4464
20	400	4402
21	422	4419
22	443	4418
23	469	4456
24	488	4433
25	513	4463
26	532	4439
27	552	4416
28	571	4395
29	589	4363
30	608	4335
31	624	4295
32	641	4254
33	657	4214
34	676	4196
35	694	4164
36	712	4140
37	730	4111
38	746	4076
39	765	4059
40	782	4027
41	799	3997
42	818	3979
43	836	3952
44	857	3942
45	873	3913
46	890	3883
47	913	3880
48	933	3865
49	957	3868
50	977	3852
51	997	3837
52	1017	3819
53	1034	3792
54	1052	3769
55	1070	3748
56	1088	3722
57	1111	3718
58	1129	3693
59	1146	3669
60	1169	3661
61	1192	3654
62	1212	3636
63	1231	3617
64	1250	3596
65	1268	3573
66	1288	3556
67	1307	3538
68	1325	3514
69	1343	3494
70	1360	3467
71	1384	3460
72	1407	3451
73	1429	3437
74	1447	3415
75	1465	3393
76	1483	3372
77	1503	3354
78	1521	3332
79	1540	3311
80	1560	3293
81	1577	3269
82	1598	3254
83	1614	3228
84	1631	3204
85	1648	3182
86	1668	3163
87	1684	3138
88	1701	3115
89	1716	3090
90	1733	3066
91	1752	3047
92	1766	3020
93	1785	3001
94	1803	2980
95	1821	2959
96	1843	2945
97	1861	2924
98	1878	2902
99	1896	2883
100	1913	2861
101	1932	2842
102	1948	2818
103	1963	2793
104	1978	2770
105	1997	2751
106	2014	2729
107	2033	2711
108	2049	2688
109	2065	2666
110	2082	2644
111	2097	2622
112	2113	2599
113	2129	2577
114	2145	2555
115	2162	2535
116	2178	2513
117	2198	2496
118	2213	2474
119	2229	2451
120	2246	2432
121	2260	2409
122	2276	2387
123	2297	2371
124	2313	2350
125	2337	2337
126	2355	2318
127	2370	2296
128	2384	2273
129	2397	2249
130	2411	2227
131	2427	2206
132	2442	2185
133	2454	2161
134	2467	2138
135	2484	2119
136	2496	2095
137	2509	2072
138	2522	2050
139	2534	2027
140	2547	2005
141	2559	1982
142	2571	1960
143	2583	1937
144	2598	1917
145	2611	1895
146	2623	1873
147	2636	1852
148	2646	1829
149	2658	1807
150	2672	1787
151	2683	1765
152	2695	1744
153	2705	1721
154	2719	1701
155	2730	1680
156	2742	1659
157	2752	1637
158	2767	1618
159	2780	1598
160	2793	1578
161	2805	1558
162	2818	1538
163	2831	1519
164	2843	1499
165	2855	1479
166	2867	1459
167	2879	1439
168	2891	1420
169	2903	1400
170	2915	1381
171	2932	1363
172	2944	1344
173	2956	1325
174	2970	1306
175	2983	1288
176	2994	1268
177	3006	1249
178	3020	1231
179	3031	1212
180	3043	1193
181	3054	1174
182	3069	1157
183	3080	1138
184	3092	1120
185	3104	1101
186	3116	1083
187	3128	1065
188	3139	1046
189	3151	1028
190	3164	1010
191	3176	992
192	3187	974
193	3199	956
194	3214	939
195	3228	922
196	3241	904
197	3254	887
198	3266	869
199	3277	852
200	3288	834
201	3302	817
202	3313	799
203	3324	782
204	3336	764
205	3349	747
206	3361	730
207	3375	714
208	3390	697
209	3403	680
210	3415	663
211	3430	647
212	3442	630
213	3454	613
214	3468	596
215	3480	580
216	3493	563
217	3507	547
218	3522	530
219	3535	514
220	3546	497
221	3562	481
222	3574	464
223	3586	448
224	3599	431
225	3613	415
226	3626	399
227	3639	383
228	3652	366
229	3669	350
230	3682	334
231	3696	318
232	3711	302
233	3723	286
234	3737	270
235	3753	254
236	3765	238
237	3777	222
238	3789	206
239	3802	190
240	3815	174
241	3829	158
242	3840	142
243	3854	126
244	3868	110
245	3882	94
246	3895	78
247	3910	63
248	3923	47
249	3936	31
250	3949	15
251	3964	0
