date,player_norm,market,median_odds,implied_prob
2023-11-04,a barkov,but_0_5,2.75,0.36363636363636365
2023-11-04,a barkov,ast_0_5,1.8,0.5555555555555556
2023-11-04,a barkov,ast_2_5,15.0,0.06666666666666667
2023-11-04,a barkov,ast_1_5,5.2,0.1923076923076923
2023-11-04,m tkachuk,but_0_5,2.09,0.47846889952153115
2023-11-04,m tkachuk,ast_0_5,1.815,0.5509641873278237
2023-11-04,m tkachuk,ast_2_5,15.0,0.06666666666666667
2023-11-04,m tkachuk,ast_1_5,5.0,0.2
2023-11-04,j mahura,but_0_5,16.0,0.0625
2023-11-04,c guttman,but_0_5,5.6,0.17857142857142858
2023-11-04,e rodrigues,but_0_5,3.35,0.29850746268656714
2023-11-04,e rodrigues,ast_0_5,2.44,0.4098360655737705
2023-11-04,e rodrigues,ast_1_5,9.0,0.1111111111111111
2023-11-04,c murphy,but_0_5,8.5,0.11764705882352941
2023-11-04,k stenlund,but_0_5,6.0,0.16666666666666666
2023-11-04,s reinhart,but_0_5,2.29,0.4366812227074236
2023-11-04,s reinhart,ast_0_5,2.3099999999999996,0.43290043290043295
2023-11-04,s reinhart,ast_1_5,8.5,0.11764705882352941
2023-11-04,t johnson,but_0_5,4.635,0.21574973031283712
2023-11-04,t johnson,ast_0_5,3.45,0.2898550724637681
2023-11-04,r johnson,but_0_5,8.5,0.11764705882352941
2023-11-04,j dickinson,but_0_5,6.0,0.16666666666666666
2023-11-04,k korchinski,but_0_5,9.5,0.10526315789473684
2023-11-04,m entwistle,but_0_5,7.0,0.14285714285714285
2023-11-04,l reichel,but_0_5,4.2,0.23809523809523808
2023-11-04,n zaitsev,but_0_5,15.0,0.06666666666666667
2023-11-04,b katchouk,but_0_5,6.0,0.16666666666666666
2023-11-04,p kurashev,but_0_5,4.745,0.2107481559536354
2023-11-04,n foligno,but_0_5,5.05,0.19801980198019803
2023-11-04,n foligno,ast_0_5,3.25,0.3076923076923077
2023-11-04,t raddysh,but_0_5,3.7,0.27027027027027023
2023-11-04,t raddysh,ast_0_5,3.4,0.29411764705882354
2023-11-04,u balinskis,but_0_5,10.0,0.1
2023-11-04,n mikkola,but_0_5,21.0,0.047619047619047616
2023-11-04,c bedard,but_0_5,2.5,0.4
2023-11-04,c bedard,ast_0_5,2.52,0.3968253968253968
2023-11-04,c bedard,ast_1_5,9.7,0.10309278350515465
2023-11-04,n cousins,but_0_5,4.35,0.2298850574712644
2023-11-04,o ekman larsson,but_0_5,6.75,0.14814814814814814
2023-11-04,o ekman larsson,ast_0_5,2.5250000000000004,0.396039603960396
2023-11-04,o ekman larsson,ast_1_5,10.0,0.1
2023-11-04,j sourdif,but_0_5,4.7,0.2127659574468085
2023-11-04,a athanasiou,but_0_5,4.2,0.23809523809523808
2023-11-04,s jones,but_0_5,7.0,0.14285714285714285
2023-11-04,s jones,ast_0_5,2.3899999999999997,0.4184100418410042
2023-11-04,s jones,ast_1_5,8.5,0.11764705882352941
2023-11-04,r donato,but_0_5,4.7,0.2127659574468085
2023-11-04,d kulikov,but_0_5,16.0,0.0625
2023-11-04,j tinordi,but_0_5,20.0,0.05
2023-11-04,e luostarinen,but_0_5,3.9,0.25641025641025644
2023-11-04,s lorentz,but_0_5,6.0,0.16666666666666666
2023-11-04,r lomberg,but_0_5,6.0,0.16666666666666666
2023-11-04,a lundell,but_0_5,3.9,0.25641025641025644
2023-11-04,a lundell,ast_0_5,3.0,0.3333333333333333
2023-11-04,c perry,but_0_5,4.95,0.20202020202020202
2023-11-04,w kaiser,but_0_5,15.0,0.06666666666666667
2023-11-04,m reilly,but_0_5,8.5,0.11764705882352941
2023-11-04,g forsling,but_0_5,5.5,0.18181818181818182
2023-11-04,g forsling,ast_0_5,2.8,0.35714285714285715
2023-11-04,c verhaeghe,but_0_5,2.49,0.4016064257028112
2023-11-04,c verhaeghe,ast_0_5,2.6950000000000003,0.37105751391465674
2023-11-04,t hall,ast_0_5,2.9,0.3448275862068966
2023-11-04,t hall,but_0_5,3.95,0.2531645569620253
2023-11-04,t hall,ast_1_5,10.0,0.1
2023-11-04,w lockwood,but_0_5,8.0,0.125
2023-11-04,c murphy chi,but_0_5,16.0,0.0625
2023-11-04,i phillips,but_0_5,16.0,0.0625
2023-11-04,b faber,but_0_5,10.0,0.1
2023-11-04,n bonino,but_0_5,4.75,0.21052631578947367
2023-11-04,d mermis,but_0_5,14.0,0.07142857142857142
2023-11-04,p maroon,but_0_5,5.5,0.18181818181818182
2023-11-04,b wheeler,but_0_5,4.25,0.23529411764705882
2023-11-04,k kaprizov,but_0_5,2.075,0.48192771084337344
2023-11-04,k kaprizov,ast_0_5,1.99,0.5025125628140703
2023-11-04,k kaprizov,ast_2_5,18.0,0.05555555555555555
2023-11-04,k kaprizov,ast_1_5,6.4,0.15625
2023-11-04,v trocheck,but_0_5,4.0,0.25
2023-11-04,v trocheck,ast_0_5,2.4450000000000003,0.4089979550102249
2023-11-04,v trocheck,ast_1_5,9.3,0.1075268817204301
2023-11-04,k kakko,but_0_5,4.26,0.2347417840375587
2023-11-04,k kakko,ast_0_5,3.5,0.2857142857142857
2023-11-04,j eriksson ek,but_0_5,2.88,0.3472222222222222
2023-11-04,j eriksson ek,ast_0_5,2.35,0.425531914893617
2023-11-04,j eriksson ek,ast_1_5,8.5,0.11764705882352941
2023-11-04,v lettieri,but_0_5,6.5,0.15384615384615385
2023-11-04,c addison,but_0_5,6.5,0.15384615384615385
2023-11-04,c addison,ast_0_5,2.8,0.35714285714285715
2023-11-04,t pitlick,but_0_5,8.0,0.125
2023-11-04,f gaudreau,but_0_5,4.4,0.22727272727272727
2023-11-04,j khaira,but_0_5,6.25,0.16
2023-11-04,b duhaime,but_0_5,5.75,0.17391304347826086
2023-11-04,k andre miller,but_0_5,6.5,0.15384615384615385
2023-11-04,b goodrow,but_0_5,7.0,0.14285714285714285
2023-11-04,j middleton,but_0_5,10.0,0.1
2023-11-04,j vesey,but_0_5,6.5,0.15384615384615385
2023-11-04,m foligno,but_0_5,5.3,0.18867924528301888
2023-11-04,a panarin,but_0_5,3.0,0.3333333333333333
2023-11-04,a panarin,ast_0_5,1.58,0.6329113924050632
2023-11-04,a panarin,ast_2_5,9.7,0.10309278350515465
2023-11-04,a panarin,ast_1_5,3.6,0.2777777777777778
2023-11-04,s walker,but_0_5,4.6,0.2173913043478261
2023-11-04,b schneider,but_0_5,14.0,0.07142857142857142
2023-11-04,w cuylle,but_0_5,4.75,0.21052631578947367
2023-11-04,r hartman,but_0_5,2.975,0.3361344537815126
2023-11-04,r hartman,ast_0_5,2.85,0.3508771929824561
2023-11-04,c dewar,but_0_5,8.0,0.125
2023-11-04,m rossi,but_0_5,3.825,0.26143790849673204
2023-11-04,a lafreniere,but_0_5,3.75,0.26666666666666666
2023-11-04,a lafreniere,ast_0_5,3.5,0.2857142857142857
2023-11-04,e 14 mar 1992 gustafsson,but_0_5,5.8,0.1724137931034483
2023-11-04,j merrill,but_0_5,25.0,0.04
2023-11-04,m boldy,but_0_5,2.88,0.3472222222222222
2023-11-04,m boldy,ast_0_5,2.3,0.4347826086956522
2023-11-04,m boldy,ast_1_5,8.5,0.11764705882352941
2023-11-04,j trouba,but_0_5,9.0,0.1111111111111111
2023-11-04,m zibanejad,but_0_5,2.6,0.3846153846153846
2023-11-04,m zibanejad,ast_0_5,1.725,0.5797101449275363
2023-11-04,m zibanejad,ast_2_5,12.0,0.08333333333333333
2023-11-04,m zibanejad,ast_1_5,4.4,0.22727272727272727
2023-11-04,m johansson,but_0_5,3.95,0.2531645569620253
2023-11-04,m johansson,ast_0_5,2.59,0.3861003861003861
2023-11-04,m johansson,ast_1_5,10.0,0.1
2023-11-04,z jones,but_0_5,12.0,0.08333333333333333
2023-11-04,c kreider,but_0_5,2.55,0.3921568627450981
2023-11-04,c kreider,ast_0_5,2.775,0.3603603603603604
2023-11-04,m zuccarello,but_0_5,3.425,0.29197080291970806
2023-11-04,m zuccarello,ast_0_5,1.87,0.53475935828877
2023-11-04,m zuccarello,ast_2_5,15.0,0.06666666666666667
2023-11-04,m zuccarello,ast_1_5,5.5,0.18181818181818182
2023-11-04,r lindgren,but_0_5,25.0,0.04
2023-11-04,j brodin,but_0_5,11.5,0.08695652173913043
2023-11-04,j brodzinski,but_0_5,5.4,0.18518518518518517
2023-11-04,c mackey,but_0_5,14.0,0.07142857142857142
2023-11-04,e gustafsson,but_0_5,6.0,0.16666666666666666
2023-11-04,d hunt,but_0_5,14.0,0.07142857142857142
2023-11-04,n goalscorer,but_0_5,61.0,0.01639344262295082
2023-11-04,b coleman,but_0_5,5.0,0.2
2023-11-04,n kadri,but_0_5,3.5,0.2857142857142857
2023-11-04,n kadri,ast_0_5,3.4,0.29411764705882354
2023-11-04,c tanev,but_0_5,14.0,0.07142857142857142
2023-11-04,m beniers,but_0_5,3.25,0.3076923076923077
2023-11-04,m beniers,ast_0_5,2.6900000000000004,0.3717472118959107
2023-11-04,m beniers,ast_1_5,10.0,0.1
2023-11-04,d shore,but_0_5,7.0,0.14285714285714285
2023-11-04,m backlund,but_0_5,4.25,0.23529411764705882
2023-11-04,m backlund,ast_0_5,2.54,0.39370078740157477
2023-11-04,w borgen,but_0_5,17.0,0.058823529411764705
2023-11-04,r andersson,but_0_5,7.0,0.14285714285714285
2023-11-04,r andersson,ast_0_5,2.35,0.425531914893617
